time,Real,Predicted Value
45.0,70.30000148713589,125.17552679777145
45.3,69.6999994367361,125.9175072312355
45.6,71.50000256299973,126.50807148218155
45.9,76.30000081658363,127.11466789245605
46.2,81.19999739527702,127.31001824140549
46.5,81.19999739527702,127.2872828245163
46.8,79.10000231862068,126.99279928207397
47.1,78.80000129342079,126.5855461359024
47.4,79.29999896883965,126.24243372678757
47.7,82.59999814629555,125.90717405080795
48.0,86.59999769926071,125.61085134744644
48.3,86.99999704957008,125.50409531593323
48.6,87.59999909996986,125.50351452827454
48.9,88.99999985098839,125.56212568283081
49.2,90.4999989271164,126.4836905002594
49.5,95.8000009059906,127.44286131858826
49.8,95.89999923110008,128.4331163764
50.1,91.69999697804451,129.33860063552856
50.4,93.69999977946281,129.89566069841385
50.7,94.89999783039093,130.30505549907684
51.0,97.39999830722809,130.83078932762146
51.3,100.99999850988388,131.4257094860077
51.6,101.99999991059303,131.69694942235947
51.9,97.39999830722809,132.22630107402802
52.2,96.40000295639038,132.5818036198616
52.5,103.00000131130219,132.4382643699646
52.8,117.99999812245369,132.58861577510834
53.1,113.99999856948853,133.45233172178268
53.4,108.99999761581421,134.3831286430359
53.7,116.00000137090683,134.6949874162674
54.0,121.99999767541885,135.13351839780807
54.3,121.00000232458115,136.5594246983528
54.6,134.0000023841858,138.44934403896332
54.9,134.0000023841858,140.0264971256256
55.2,127.99999397993088,140.97574615478516
55.5,131.9999995827675,141.4771111011505
55.8,121.99999767541885,141.9095922112465
56.1,136.0000051856041,143.04408830404282
56.4,150.99999594688416,144.41492867469788
56.7,137.0000005364418,145.73504692316055
57.0,134.9999977350235,147.22486406564713
57.3,147.00000244379044,148.21179169416428
57.6,158.99999505281448,148.73344790935516
57.9,173.99999791383743,148.50049155950546
58.2,173.99999791383743,148.9728776216507
58.5,163.0000006556511,150.49048787355423
58.8,150.99999594688416,151.96268779039383
59.1,152.00000339746475,152.90320080518723
59.4,152.00000339746475,152.9179624915123
59.7,165.9999988079071,152.55570828914642
60.0,176.00000071525574,151.63985455036163
60.3,165.9999988079071,150.8742191195488
60.6,160.00000250339508,150.91230911016464
60.9,160.00000250339508,152.01038497686386
61.2,158.99999505281448,153.71787649393082
61.5,168.0000016093254,154.8315247297287
61.8,197.99999523162842,155.38111925125122
62.1,207.00000178813934,155.79911696910858
62.4,194.0000017285347,156.12360787391663
62.7,192.9999942779541,157.11762595176697
63.0,207.99999713897705,158.69925594329834
63.3,212.00000274181366,159.85989958047867
63.6,201.00000548362732,161.14121395349503
63.9,192.9999942779541,162.5801032781601
64.2,204.00000363588333,164.22425264120102
64.5,220.9999971985817,166.82465678453445
64.8,231.00001120567322,168.20622962713242
65.1,220.9999971985817,168.3203302025795
65.4,238.99999821186066,169.096068918705
65.7,224.99999070167542,169.67100030183792
66.0,244.99999451637268,171.0693554878235
66.3,249.0000001192093,172.7369299530983
66.6,240.99998891353607,174.0964207649231
66.9,285.0000021457672,173.84948921203613
67.2,248.00000476837158,173.76509350538254
67.5,264.99999833106995,175.68345934152603
67.8,287.99998819828033,180.91446858644485
68.1,302.9999910593033,182.68732291460037
68.4,285.0000021457672,183.41633242368698
68.7,259.99999737739563,186.1733072400093
69.0,244.99999451637268,189.6728190779686
69.3,229.99999165534973,192.06591832637787
69.6,238.00000286102295,197.53875303268433
69.9,260.99999272823334,200.6384893655777
70.2,274.0000048875809,201.7760829925537
70.5,254.9999964237213,204.27874541282654
70.8,264.00000298023224,203.1313509941101
71.1,265.99999368190765,207.05207908153534
71.4,278.0000104904175,211.97603315114975
71.7,297.99999010562897,212.27513879537582
72.0,289.0000077486038,213.21745467185974
72.3,274.0000048875809,216.5512000322342
72.6,285.0000021457672,222.36155706644058
72.9,300.00000500679016,229.8433483839035
73.2,302.9999910593033,234.59462702274323
73.5,280.9999965429306,236.08287119865417
73.8,273.00000953674316,234.6790348291397
74.1,264.99999833106995,234.28054189682007
74.4,292.99998915195465,233.69244599342346
74.7,292.99998915195465,236.8623366355896
75.0,285.9999974966049,240.8038762807846
75.3,285.9999974966049,241.5883026123047
75.6,294.00000870227814,241.84515595436096
75.9,313.9999883174896,241.6134216785431
76.2,364.9999932050705,241.63079690933228
76.5,444.00001311302185,243.34729063510895
76.8,474.00001883506775,251.9518049955368
77.1,426.0,260.0737090110779
77.4,377.0000100135803,263.07091212272644
77.7,481.0000104904175,265.2404202222824
78.0,408.0000110864639,271.1261707544327
78.3,354.99999129772186,275.1354931592941
78.6,417.9999887943268,275.3527561426163
78.9,528.9999809265137,274.5227621793747
79.2,447.00002336502075,276.63554668426514
79.5,444.9999842643738,282.263475894928
79.8,538.0000116825104,288.12275218963623
80.1,446.00000381469727,289.6874667406082
80.4,415.99999809265137,297.62109875679016
80.7,436.00000190734863,297.65371966362
81.0,431.0000009536743,306.31442523002625
81.3,399.000004529953,310.245050907135
81.6,342.0000033378601,310.9860875606537
81.9,347.99999964237213,325.09087884426117
82.2,390.9999933242798,321.4442583322525
82.5,416.9999934434891,330.3286155462265
82.8,372.000009059906,338.7187224626541
83.1,342.9999986886978,350.2407752275467
83.4,321.00000417232513,351.17243123054504
83.7,317.99999392032623,347.50633013248444
84.0,344.99998939037323,343.3963620662689
84.3,348.99999499320984,334.7892099618912
84.6,347.0000042915344,332.0937502384186
84.9,398.0000091791153,333.121454000473
85.2,384.99999701976776,337.05658078193665
85.5,389.00000262260437,334.22032845020294
85.8,447.9999945163727,338.1703863143921
86.1,489.0000216960907,340.04712903499603
86.4,442.00002241134644,344.3956798315048
86.7,387.00001192092896,349.5829122066498
87.0,387.00001192092896,351.2422225475311
87.3,372.000009059906,350.1957883834839
87.6,341.0000079870224,352.8103976249695
87.9,364.9999932050705,359.6150268316269
88.2,389.9999979734421,361.2276563644409
88.5,420.000003695488,356.5698845386505
88.8,444.00001311302185,352.76804852485657
89.1,451.0000047683716,347.1873083114624
89.4,513.0000069141388,352.82721626758575
89.7,546.0000228881836,353.4231770038605
90.0,491.99998354911804,352.43462800979614
90.3,523.0000088214874,351.43003475666046
90.6,501.9999854564667,351.85577630996704
90.9,489.0000216960907,360.7325106859207
91.2,424.0000092983246,378.9110918045044
91.5,391.9999886751175,410.75962364673615
91.8,388.00000727176666,439.90279817581177
92.1,384.99999701976776,447.5735511779785
92.4,419.00000834465027,445.55899238586426
92.7,466.00000762939453,477.57249212265015
93.0,431.0000009536743,469.17062425613403
93.3,405.000000834465,458.94193720817566
93.6,373.0000044107437,465.8166239261627
93.9,378.00000536441803,500.40344858169556
94.2,437.99999260902405,500.39444637298584
94.5,389.00000262260437,508.49096512794495
94.8,404.0000054836273,538.5460004806519
95.1,504.9999957084656,527.7841987609863
95.4,464.0000169277191,519.700941324234
95.7,533.999981880188,517.4919638633728
96.0,558.9999866485596,519.7982716560364
96.3,538.0000116825104,503.5960383415222
96.6,493.0000030994415,483.706093788147
96.9,441.00000286102295,475.0546324253082
97.2,405.99999618530273,470.52681183815
97.5,415.99999809265137,475.0894796848297
97.8,504.9999957084656,467.0551052093506
98.1,632.9999814033508,452.0112044811249
98.4,565.0000071525574,432.82159304618835
98.7,437.0000214576721,424.2323485612869
99.0,420.9999990463257,422.85469603538513
99.3,410.99999713897705,417.6701498031616
99.6,531.0000200271606,411.76203894615173
99.9,560.000006198883,423.06854689121246
100.0,494.99999380111694,423.33544301986694
101.0,597.0000035762787,425.98395574092865
101.0,640.999992609024,441.4075222015381
101.0,662.0000159740448,461.8082695007324
101.0,711.9999771118164,462.9368851184845
102.0,761.0000154972076,450.45532274246216
102.0,635.0000205039978,444.8173749446869
102.0,612.9999775886536,436.91295170783997
103.0,618.9999980926514,420.0328907966614
103.0,729.0000190734863,412.7530562877655
103.0,679.0000095367432,414.17826080322266
104.0,654.0000047683716,422.05257987976074
104.0,689.0000114440918,429.0246937274933
104.0,612.9999775886536,438.2951295375824
104.0,575.000009059906,465.7375400066376
105.0,523.9999799728394,495.6168386936188
105.0,498.00000405311584,500.41496753692627
105.0,472.99999928474426,520.0126791000366
106.0,474.9999899864197,522.4999022483826
106.0,540.0000023841858,526.9533336162567
106.0,573.9999895095825,506.7986466884613
107.0,524.9999995231628,490.54443287849426
107.0,516.9999883174896,478.54782819747925
107.0,541.0000219345093,465.9752757549286
107.0,523.0000088214874,469.80392479896545
108.0,694.999983549118,480.2599902153015
108.0,620.0000176429749,480.65332865715027
108.0,590.9999830722809,473.1938371658325
109.0,637.9999823570251,460.60894298553467
109.0,622.0000083446503,457.51189279556274
109.0,689.9999825954437,459.5698654651642
110.0,645.0000224113464,440.8059229850769
110.0,526.0000190734863,442.90851950645447
110.0,513.9999780654907,463.3310947418213
110.0,501.00001430511475,464.1971459388733
111.0,451.0000047683716,493.4278984069824
111.0,449.9999852180481,511.63394594192505
111.0,600.0000138282776,527.9079549312592
112.0,697.999993801117,516.2134566307068
112.0,625.9999897480011,508.7794713973999
112.0,531.0000200271606,495.745144367218
113.0,513.9999780654907,476.2136425971985
113.0,697.000022649765,486.8325705528259
113.0,640.0000214576721,531.0487577915192
113.0,508.0000059604645,544.4246847629547
114.0,466.99997878074646,525.9419887065887
114.0,466.99997878074646,510.6791310310364
114.0,499.99999475479126,495.872385263443
115.0,553.0000145435333,515.1052169799805
115.0,469.99998903274536,523.2451980113983
115.0,441.00000286102295,520.8850705623627
116.0,489.9999928474426,554.4217827320099
116.0,590.000011920929,581.1671996116638
116.0,489.0000216960907,612.9364297389984
116.0,493.0000030994415,639.3214194774628
117.0,553.9999856948853,678.6441802978516
117.0,489.9999928474426,668.7238914966583
117.0,466.99997878074646,664.1038224697113
118.0,466.99997878074646,668.4591975212097
118.0,561.9999969005585,699.1228015422821
118.0,528.9999809265137,698.951807975769
119.0,471.9999797344208,697.5007100105286
119.0,519.9999985694885,710.1281468868256
119.0,570.9999792575836,704.4691939353943
119.0,546.9999940395355,691.4116837978363
120.0,476.9999806880951,655.6666233539581
120.0,523.9999799728394,633.3860116004944
120.0,622.0000083446503,593.8151576519012
121.0,543.0000126361847,577.2250065803528
121.0,528.0000097751617,587.6320922374725
121.0,486.0000114440918,580.2150466442108
122.0,516.0000171661377,568.2619042396545
122.0,511.9999873638153,561.8402318954468
122.0,488.0000021457672,565.6613790988922
122.0,533.0000107288361,553.0889718532562
123.0,553.0000145435333,603.3389620780945
123.0,573.9999895095825,599.379974603653
123.0,580.0000100135803,600.574122428894
124.0,459.0000159740448,607.1108391284943
124.0,506.999986410141,623.9538264274597
124.0,694.999983549118,650.1838426589966
125.0,607.0000054836273,634.9455716609955
125.0,605.0000147819519,610.9266624450684
125.0,551.9999949932098,587.9800808429718
125.0,583.0000202655792,571.7504053115845
126.0,681.0000002384186,542.4809820652008
126.0,672.9999890327454,518.1606924533844
126.0,679.9999806880951,550.4332234859467
127.0,576.9999997615814,578.4320769309998
127.0,518.999979019165,577.5757539272308
127.0,521.000018119812,569.7519149780273
128.0,593.0000221729279,559.0628569126129
128.0,618.9999980926514,594.3890726566315
128.0,496.00001335144043,588.3020792007446
128.0,580.9999811649323,555.6652007102966
129.0,612.0000064373016,533.3017299175262
129.0,568.0000174045563,513.5905711650848
129.0,565.9999783039093,523.2322754859924
130.0,540.0000023841858,540.833432674408
130.0,553.0000145435333,522.0809607505798
130.0,568.9999885559082,503.31851863861084
131.0,588.0000212192535,501.6145360469818
131.0,523.0000088214874,533.3298981189728
131.0,474.9999899864197,523.0423579216003
131.0,479.00001978874207,515.5942885875702
132.0,560.999977350235,521.2366890907288
132.0,583.0000202655792,504.67146348953247
132.0,479.00001978874207,492.15297269821167
133.0,558.0000154972076,491.85197949409485
133.0,496.00001335144043,515.0735156536102
133.0,506.999986410141,491.7635061740875
134.0,489.0000216960907,469.07034158706665
134.0,427.9999907016754,476.59488129615784
134.0,509.9999966621399,491.69323086738586
134.0,519.9999985694885,488.2987689971924
135.0,464.0000169277191,479.2021338939667
135.0,437.99999260902405,493.65464758872986
135.0,531.0000200271606,530.1572003364563
136.0,489.0000216960907,524.6205515861511
136.0,462.99999737739563,522.3861162662506
136.0,536.000020980835,511.85503244400024
137.0,560.000006198883,506.0367500782013
137.0,501.9999854564667,506.34355115890503
137.0,471.00000858306885,506.0781795978546
137.0,469.00001788139343,521.4803295135498
138.0,595.0000128746033,527.1435415744781
138.0,518.0000078678131,537.7055523395538
138.0,449.9999852180481,555.1171791553497
139.0,491.99998354911804,534.0123720169067
139.0,444.9999842643738,521.407440662384
139.0,451.0000047683716,558.966784954071
140.0,476.00000953674316,556.2176749706268
140.0,498.00000405311584,559.9984090328217
140.0,506.00001525878906,553.4237959384918
140.0,459.0000159740448,567.2683701515198
141.0,519.9999985694885,594.0139806270599
141.0,560.000006198883,618.1873309612274
141.0,499.99999475479126,642.5204463005066
142.0,464.99998807907104,615.7134659290314
142.0,459.99998712539673,595.4504137039185
142.0,471.9999797344208,578.1267762184143
143.0,546.0000228881836,590.4984245300293
143.0,503.00000500679016,609.3156542778015
143.0,432.99999165534973,566.4087076187134
143.0,535.0000014305115,580.5050048828125
144.0,597.0000035762787,586.4197947978973
144.0,553.0000145435333,587.354475736618
144.0,605.0000147819519,585.2967450618744
145.0,536.000020980835,562.1241886615753
145.0,514.9999976158142,566.0366163253784
145.0,511.9999873638153,553.9071080684662
146.0,627.0000092983246,555.7529964447021
146.0,561.9999969005585,552.8275690078735
146.0,642.9999833106995,534.7087364196777
146.0,590.000011920929,517.0760715007782
147.0,543.0000126361847,531.2533886432648
147.0,570.0000081062317,533.6772575378418
147.0,565.0000071525574,518.5540308952332
148.0,583.9999914169312,523.043713092804
148.0,506.00001525878906,502.7031741142273
148.0,519.9999985694885,518.026385307312
149.0,576.9999997615814,504.04169607162476
149.0,600.9999849796295,492.481262922287
149.0,535.0000014305115,496.6563518047333
149.0,439.00001215934753,481.54900002479553
150.0,442.00002241134644,476.57029461860657
150.0,543.0000126361847,469.2695517539978
150.0,575.000009059906,480.24634170532227
151.0,546.9999940395355,464.92985796928406
151.0,472.99999928474426,450.9925513267517
151.0,573.9999895095825,463.0069668292999
152.0,543.9999837875366,493.2655198574066
152.0,531.9999911785126,481.1251218318939
152.0,526.0000190734863,467.95556807518005
152.0,513.0000069141388,469.9231798648834
153.0,640.0000214576721,498.96938705444336
153.0,575.000009059906,489.40763783454895
153.0,541.9999930858612,477.9002983570099
154.0,573.0000183582306,476.61530566215515
154.0,558.0000154972076,460.2655038833618
154.0,533.0000107288361,461.1376533508301
155.0,607.9999766349792,466.6896929740906
155.0,600.9999849796295,469.9570107460022
155.0,607.9999766349792,472.8478329181671
155.0,664.0000066757202,461.537428855896
156.0,659.0000057220459,481.32481598854065
156.0,528.9999809265137,500.03484201431274
156.0,546.0000228881836,478.73832654953003
157.0,706.0000050067902,465.99245738983154
157.0,679.9999806880951,464.2215874195099
157.0,610.0000157356262,468.19596576690674
158.0,721.999979019165,489.2978205680847
158.0,746.0000126361847,483.08523178100586
158.0,618.9999980926514,463.4240691661835
158.0,664.9999778270721,483.7269537448883
159.0,613.999997138977,513.4497785568237
159.0,573.9999895095825,527.3680644035339
159.0,551.0000238418579,539.0949900150299
160.0,659.9999768733978,534.1777513027191
160.0,627.0000092983246,534.9376151561737
160.0,652.9999852180481,529.5462601184845
161.0,748.0000033378601,553.9068660736084
161.0,677.9999899864197,550.6433234214783
161.0,620.0000176429749,580.6765792369843
161.0,667.0000169277191,571.4197435379028
162.0,727.9999995231628,569.53324842453
162.0,528.0000097751617,573.369980096817
162.0,582.0000007152557,565.2103006839752
163.0,568.9999885559082,573.4453856945038
163.0,694.999983549118,550.645210981369
163.0,618.9999980926514,557.2568008899689
164.0,617.000007390976,569.3041760921478
164.0,634.0000009536743,565.9663894176483
164.0,655.999995470047,551.531396150589
164.0,620.9999887943268,531.6190912723541
165.0,622.0000083446503,518.5200548171997
165.0,566.9999978542328,520.5152540206909
165.0,691.0000021457672,543.8546416759491
166.0,776.0000183582306,542.9963827133179
166.0,773.0000081062317,524.9875609874725
166.0,734.9999911785126,548.0518972873688
167.0,711.0000059604645,546.3476243019104
167.0,662.9999871253967,543.3032805919647
167.0,580.9999811649323,537.1479961872101
167.0,744.9999930858612,528.6984069347382
168.0,714.0000162124634,561.537593126297
168.0,528.9999809265137,543.8346529006958
168.0,639.0000019073486,545.5730471611023
169.0,734.0000200271606,551.8630259037018
169.0,679.0000095367432,549.925760269165
169.0,759.9999959468842,545.8445653915405
170.0,618.9999980926514,556.6707861423492
170.0,615.9999878406525,568.1616699695587
170.0,639.0000019073486,575.603157043457
170.0,647.9999842643738,584.6893863677979
171.0,657.0000150203705,605.2741465568542
171.0,655.999995470047,584.4465687274933
171.0,613.999997138977,575.7525646686554
172.0,696.0000030994415,610.0709686279297
172.0,662.9999871253967,621.4594886302948
172.0,662.9999871253967,621.961095571518
173.0,749.0000228881836,649.9284896850586
173.0,694.999983549118,672.8501942157745
173.0,681.0000002384186,659.4905292987823
173.0,625.0000185966492,665.4511046409607
174.0,679.9999806880951,656.1092319488525
174.0,632.9999814033508,635.000214099884
174.0,642.0000121593475,612.9748585224152
175.0,664.9999778270721,642.0150158405304
175.0,640.0000214576721,637.1954462528229
175.0,677.0000188350677,640.9857149124146
176.0,714.9999873638153,679.3649377822876
176.0,642.0000121593475,678.9236843585968
176.0,719.0000171661377,657.2041618824005
176.0,793.000011920929,663.7543334960938
177.0,573.0000183582306,691.1560888290405
177.0,615.0000166893005,644.4022467136383
177.0,768.9999783039093,632.2975671291351
178.0,682.0000197887421,618.5068125724792
178.0,791.9999923706055,644.5558166503906
178.0,791.0000212192535,629.2998316287994
179.0,665.9999973773956,636.3609027862549
179.0,570.0000081062317,630.7330219745636
179.0,637.9999823570251,631.603187084198
179.0,746.0000126361847,630.0259613990784
180.0,736.999981880188,627.9745709896088
180.0,694.0000123977661,610.9011561870575
180.0,733.0000004768372,631.3757603168488
181.0,706.9999761581421,667.6221857070923
181.0,687.0000207424164,692.1611902713776
181.0,704.9999854564667,703.6709980964661
182.0,748.0000033378601,700.8639061450958
182.0,654.0000047683716,680.8876178264618
182.0,629.0,649.1948096752167
182.0,660.9999964237213,682.0047628879547
183.0,600.9999849796295,682.303626537323
183.0,634.0000009536743,642.1677145957947
183.0,694.999983549118,651.2184190750122
184.0,724.000018119812,668.4449682235718
184.0,583.0000202655792,671.8045828342438
184.0,555.0000052452087,689.6265845298767
185.0,672.9999890327454,657.4001293182373
185.0,741.9999828338623,658.0152802467346
185.0,662.0000159740448,642.3111207485199
185.0,719.9999883174896,648.0250549316406
186.0,810.9999766349792,659.2635381221771
186.0,714.9999873638153,646.1108756065369
186.0,665.9999973773956,635.6834139823914
187.0,650.9999945163727,657.3881747722626
187.0,687.0000207424164,653.0043411254883
187.0,771.9999885559082,656.7534222602844
188.0,768.9999783039093,679.9851222038269
188.0,746.9999837875366,672.176432132721
188.0,729.0000190734863,668.8683140277863
188.0,722.9999985694885,647.234893321991
189.0,679.0000095367432,668.130616903305
189.0,687.9999918937683,638.1623125076294
189.0,749.0000228881836,640.839937210083
190.0,758.9999763965607,639.8906397819519
190.0,733.0000004768372,645.0944004058838
190.0,709.999986410141,644.0798127651215
191.0,714.0000162124634,648.7332286834717
191.0,761.0000154972076,633.2214550971985
191.0,662.0000159740448,652.4388475418091
191.0,620.9999887943268,687.4300456047058
192.0,712.9999966621399,649.8141713142395
192.0,810.9999766349792,642.6987481117249
