time,Real,Predicted Value
45.0,70.30000148713589,58.387674540281296
45.3,69.6999994367361,59.2214073240757
45.6,71.50000256299973,59.86424246430397
45.9,76.30000081658363,60.52552971243858
46.2,81.19999739527702,60.724637031555176
46.5,81.19999739527702,60.682293981313705
46.8,79.10000231862068,60.34329245984554
47.1,78.80000129342079,59.87250658869743
47.4,79.29999896883965,59.47455209493637
47.7,82.59999814629555,59.0842567384243
48.0,86.59999769926071,58.742511600255966
48.3,86.99999704957008,58.614695966243744
48.6,87.59999909996986,58.60681903362274
48.9,88.99999985098839,58.69668684899807
49.2,90.4999989271164,59.78160424530506
49.5,95.8000009059906,60.89217007160187
49.8,95.89999923110008,62.035223707556725
50.1,91.69999697804451,63.087613970041275
50.4,93.69999977946281,63.721967190504074
50.7,94.89999783039093,64.1699238717556
51.0,97.39999830722809,64.78782749176025
51.3,100.99999850988388,65.47943367063999
51.6,101.99999991059303,65.79746028780937
51.9,97.39999830722809,66.41286833584309
52.2,96.40000295639038,66.82802563905716
52.5,103.00000131130219,66.67248344421387
52.8,117.99999812245369,66.87628546357155
53.1,113.99999856948853,67.9143980294466
53.4,108.99999761581421,69.04180064797401
53.7,116.00000137090683,69.46593596041203
54.0,121.99999767541885,69.99880258738995
54.3,121.00000232458115,71.64956748485565
54.6,134.0000023841858,73.8466266989708
54.9,134.0000023841858,75.66786789894104
55.2,127.99999397993088,76.78949591517448
55.5,131.9999995827675,77.39404141902924
55.8,121.99999767541885,77.9121766090393
56.1,136.0000051856041,79.23074609041214
56.4,150.99999594688416,80.78993710875511
56.7,137.0000005364418,82.25709748268127
57.0,134.9999977350235,83.93507167696953
57.3,147.00000244379044,85.06273141503334
57.6,158.99999505281448,85.6414560675621
57.9,173.99999791383743,85.33990022540092
58.2,173.99999791383743,85.86021941900253
58.5,163.0000006556511,87.60488739609718
58.8,150.99999594688416,89.28061103820801
59.1,152.00000339746475,90.3658127784729
59.4,152.00000339746475,90.37972143292427
59.7,165.9999988079071,89.98184558749199
60.0,176.00000071525574,88.97198894619942
60.3,165.9999988079071,88.12502509355545
60.6,160.00000250339508,88.15839618444443
60.9,160.00000250339508,89.42364209890366
61.2,158.99999505281448,91.40450915694237
61.5,168.0000016093254,92.68839472532272
61.8,197.99999523162842,93.2938900589943
62.1,207.00000178813934,93.77117046713829
62.4,194.0000017285347,94.15329849720001
