time,Real,Predicted Value
45.0,70.30000145733356,94.80750025808811
45.3,69.70000110566616,95.80951057374477
45.6,71.50000216066837,96.80257318913937
45.9,76.29999896883965,97.6174024194479
46.2,81.19999983906746,98.31008653342724
46.5,81.19999983906746,99.06773455440998
46.8,79.09999860823154,99.67915673553944
47.1,78.79999843239784,100.49792535603046
47.4,79.30000072717667,101.31769083440304
47.7,82.60000266134739,101.8929378837347
48.0,86.59999699890614,102.51567380130291
48.3,87.00000123679638,103.08761800825596
48.6,87.60000158846378,103.73754532635212
48.9,88.99999840557575,104.40222133696079
49.2,90.49999928474426,105.0942929238081
49.5,95.79999838769436,106.02129869163036
49.8,95.9000024497509,107.2473978549242
50.1,91.69999998807907,108.56670923531055
50.4,93.69999715685844,109.84299959242344
50.7,94.89999786019325,110.81969211995602
51.0,97.39999732375145,112.03483785688877
51.3,100.99999943375587,113.34766365587711
51.6,101.99999801814556,114.3764209896326
51.9,97.39999732375145,115.43187730014324
52.2,96.39999873936176,116.42927564680576
52.5,103.00000260770321,117.08392302691936
52.8,117.99999938905239,117.47407878935337
53.1,113.99999904632568,117.9254872649908
53.4,109.00000011920929,118.74495248496532
53.7,116.00000222027302,119.59905551373959
54.0,121.9999997317791,120.67341609299183
54.3,120.99999514222145,122.00147700309753
54.6,133.99999475479126,123.92173755168915
54.9,133.99999475479126,126.14626795053482
55.2,128.00000324845314,128.18300473690033
55.5,131.9999975860119,130.0651684999466
55.8,121.9999997317791,131.99904876947403
56.1,136.00000393390656,134.086685359478
56.4,151.00000071525574,136.49896132946014
56.7,136.99999651312828,139.02146816253662
57.0,134.9999993443489,141.45920604467392
57.3,146.99999436736107,143.94544166326523
57.6,159.00000140070915,145.96582037210464
57.9,173.99999818205833,147.4817409515381
58.2,173.99999818205833,148.52661615610123
58.5,162.9999957382679,150.1251678466797
58.8,151.00000071525574,152.15863782167435
59.1,152.00000530481339,153.82391893863678
59.4,152.00000530481339,155.06634014844894
59.7,165.99999749660492,155.89944911003113
60.0,175.9999953508377,156.74490469694138
60.3,165.99999749660492,157.95585882663727
60.6,160.0000059902668,159.2437271475792
60.9,160.0000059902668,160.89831906557083
61.2,159.00000140070915,163.73290246725082
61.5,167.9999946653843,167.05448096990585
61.8,196.99999564886093,170.00986433029175
62.1,206.000000923872,172.500279545784
62.4,194.99999848008156,174.74455493688583
62.7,191.99999672174454,177.5167566537857
63.0,207.00000551342964,180.93718022108078
63.3,209.99999526143074,184.33648961782455
63.6,194.00000590085983,188.13627165555954
63.9,196.0000030696392,192.16177594661713
64.2,209.99999526143074,195.91421324014664
64.5,212.99999701976776,200.14235591888428
64.8,220.99999770522118,204.81951701641083
65.1,204.99999633431435,209.22046440839767
65.4,231.9999881386757,214.14491832256317
65.7,225.00000405311584,219.1556785106659
66.0,212.00000444054604,224.0014647245407
66.3,220.00000512599945,228.97571349143982
66.6,226.9999892115593,233.36635601520538
66.9,287.00000035762787,235.9396425485611
67.2,308.0000006556511,237.24362874031067
67.5,289.00000953674316,239.35725569725037
67.8,299.00000739097595,244.21942400932312
68.1,285.9999957680702,249.3317435979843
68.4,273.99998873472214,253.29452991485596
68.7,279.9999922513962,257.3326450586319
69.0,277.0000025033951,261.6749339699745
69.3,289.99999010562897,266.5704429745674
69.6,263.00001031160355,273.43824130296707
69.9,268.00000923871994,280.03842532634735
70.2,273.99998873472214,285.08372724056244
70.5,293.0000038743019,289.96357476711273
70.8,284.00001060962677,293.8369081020355
71.1,263.99999088048935,297.337897002697
71.4,259.9999965429306,301.47187864780426
71.7,293.0000038743019,304.7962675690651
72.0,312.9999995827675,307.9135982990265
72.3,341.9999885559082,312.10275542736053
72.6,371.00000154972076,316.966509103775
72.9,315.9999893307686,323.6086572408676
73.2,338.9999988079071,329.83563208580017
73.5,319.0000030994415,334.08685863018036
73.8,337.99999421834946,336.35736459493637
74.1,353.9999955892563,338.49635738134384
74.4,329.0000009536743,344.2682846188545
74.7,362.9999888539314,353.5231372117996
75.0,368.99999237060547,362.3939232826233
75.3,332.99999529123306,370.37536799907684
75.6,452.99999356269836,376.57899475097656
75.9,450.00000381469727,381.6648916006088
76.2,394.9999915957451,385.7611848115921
76.5,427.0000183582306,388.39896684885025
76.8,378.99999022483826,392.046649992466
77.1,380.99999940395355,394.8162334561348
77.4,472.00000870227814,396.8437943458557
77.7,414.00000673532486,399.015407204628
78.0,395.99999618530273,403.07124960422516
78.3,460.99998223781586,407.6201403141022
78.6,413.0000021457672,411.10035133361816
78.9,435.0000070333481,414.43999338150024
79.2,432.000017285347,418.7989766597748
79.5,519.9999887943268,424.0770869255066
79.8,442.9999957084656,430.2943093776703
80.1,397.0000007748604,437.4534784555435
80.4,423.9999805688858,441.53473472595215
80.7,452.00001299381256,446.13253152370453
81.0,554.0000007152557,448.0082577466965
81.3,591.9999829530716,450.2253177165985
81.6,467.99999034404755,451.8918719291687
81.9,502.9999828338623,454.43546891212463
82.2,531.9999958276749,459.6066391468048
82.5,487.0000054836273,463.8421561717987
82.8,480.99997794628143,465.35478591918945
83.1,499.9999930858612,471.717525601387
83.4,499.0000125169754,477.18102741241455
83.7,615.9999970197678,482.693195104599
84.0,531.0000152587891,491.7561465501785
84.3,571.999987244606,498.5821969509125
84.6,574.9999769926071,504.75474095344543
84.9,643.000000834465,510.59267699718475
85.2,588.0000126361847,510.17740762233734
85.5,494.9999941587448,512.9516991376877
85.8,497.0000033378601,517.6874226331711
86.1,590.0000218153,519.6031192541122
86.4,647.9999997615814,524.054437994957
86.7,548.0000212192535,527.3277349472046
87.0,511.0000195503235,535.9942972660065
87.3,497.9999839067459,537.6542217731476
87.6,501.0000216960907,539.3280302286148
87.9,531.9999958276749,541.114447593689
88.2,613.0000072717667,544.3849581480026
88.5,648.9999803304672,551.725435256958
88.8,563.9999985694885,560.9189630746841
89.1,516.0000184774399,564.673970580101
89.4,573.9999964237213,572.5958920717239
89.7,670.9999852180481,579.0956937074661
90.0,687.0000106096268,582.4005057811737
90.3,576.9999861717224,583.0083248615265
90.6,638.0000019073486,584.8301967382431
90.9,640.0000110864639,586.7968171834946
91.2,568.9999974966049,591.8845876455307
