time,Real,Predicted Value
45.0,70.30000148713589,89.6538034081459
45.3,69.6999994367361,90.97486543655396
45.6,71.50000256299973,92.0861542224884
45.9,76.30000081658363,93.3290519118309
46.2,81.19999739527702,94.29648685455322
46.5,81.19999739527702,94.72001415491104
46.8,79.10000231862068,95.23379343748093
47.1,78.80000129342079,95.76515364646912
47.4,79.29999896883965,96.25136971473694
47.7,82.59999814629555,96.61116766929626
48.0,86.59999769926071,96.79243391752243
48.3,86.99999704957008,96.84546709060669
48.6,87.59999909996986,97.21563452482224
48.9,88.99999985098839,98.04663276672363
49.2,90.4999989271164,99.359454870224
49.5,95.8000009059906,101.47667998075485
49.8,95.89999923110008,103.52360558509827
50.1,91.69999697804451,105.44320559501648
50.4,93.69999977946281,106.66836506128311
50.7,94.89999783039093,107.54672169685364
51.0,97.39999830722809,108.68519860506058
51.3,100.99999850988388,110.30059897899628
51.6,101.99999991059303,111.76314330101013
51.9,97.39999830722809,112.79459798336029
52.2,96.40000295639038,113.29151022434235
52.5,103.00000131130219,113.10110867023468
52.8,117.99999812245369,112.73489785194397
53.1,113.99999856948853,113.17350143194199
53.4,108.99999761581421,114.61483490467072
53.7,116.00000137090683,116.96581494808197
54.0,121.99999767541885,119.00147569179535
54.3,121.00000232458115,120.92581880092621
54.6,134.0000023841858,123.27408850193024
54.9,134.0000023841858,126.36726677417755
55.2,127.99999397993088,128.95881390571594
55.5,131.9999995827675,131.42685896158218
55.8,121.99999767541885,133.1877224445343
56.1,136.0000051856041,135.06396907567978
56.4,150.99999594688416,137.36356151103973
56.7,137.0000005364418,139.74770694971085
57.0,134.9999977350235,142.5329830646515
57.3,147.00000244379044,145.4489243030548
57.6,158.99999505281448,147.34613978862762
57.9,173.99999791383743,148.082941532135
58.2,173.99999791383743,148.76570582389832
58.5,163.0000006556511,150.43600273132324
58.8,150.99999594688416,152.9298323392868
59.1,152.00000339746475,155.60298013687134
59.4,152.00000339746475,157.0610475540161
59.7,165.9999988079071,157.2000252008438
60.0,176.00000071525574,157.6184343099594
60.3,165.9999988079071,159.03368073701859
60.6,160.00000250339508,160.48261284828186
60.9,160.00000250339508,161.99682307243347
61.2,158.99999505281448,164.99921697378159
61.5,168.0000016093254,169.1574993133545
61.8,197.99999523162842,172.62460803985596
62.1,207.00000178813934,175.99784696102142
62.4,194.0000017285347,179.05661356449127
62.7,192.9999942779541,181.6043838262558
63.0,207.99999713897705,184.75389850139618
63.3,212.00000274181366,187.44382864236832
63.6,201.00000548362732,190.6860515475273
63.9,192.9999942779541,195.7681976556778
64.2,204.00000363588333,199.75235259532928
64.5,220.9999971985817,203.82907056808472
64.8,231.00001120567322,208.51590597629547
65.1,220.9999971985817,213.4939579963684
65.4,238.99999821186066,219.06688177585602
65.7,224.99999070167542,224.44369292259216
66.0,244.99999451637268,228.15187692642212
66.3,249.0000001192093,231.15387153625488
66.6,240.99998891353607,233.9766447544098
66.9,285.0000021457672,235.708069562912
67.2,248.00000476837158,237.30888974666595
67.5,264.99999833106995,240.3443522453308
67.8,287.99998819828033,245.5957374572754
68.1,302.9999910593033,250.68043661117554
68.4,285.0000021457672,254.4865801334381
68.7,259.99999737739563,257.71471893787384
69.0,244.99999451637268,262.03093922138214
69.3,229.99999165534973,268.85896933078766
69.6,238.00000286102295,277.80878615379333
69.9,260.99999272823334,284.5587729215622
70.2,274.0000048875809,288.54880833625793
70.5,254.9999964237213,293.31150913238525
70.8,264.00000298023224,297.61850941181183
71.1,265.99999368190765,300.50829100608826
71.4,278.0000104904175,302.81939029693604
71.7,297.99999010562897,305.4595299959183
72.0,289.0000077486038,309.8072580099106
72.3,274.0000048875809,315.9166843891144
72.6,285.0000021457672,320.83251953125
72.9,300.00000500679016,326.7602803707123
73.2,302.9999910593033,331.816908121109
73.5,280.9999965429306,337.03330087661743
73.8,273.00000953674316,341.9831120967865
74.1,264.99999833106995,344.92608416080475
74.4,292.99998915195465,351.1905324459076
74.7,292.99998915195465,355.0237309932709
75.0,285.9999974966049,358.8846137523651
75.3,285.9999974966049,365.460315823555
75.6,294.00000870227814,373.8980715274811
75.9,313.9999883174896,379.41623187065125
76.2,364.9999932050705,380.20361053943634
76.5,444.00001311302185,379.6762795448303
76.8,474.00001883506775,379.3910644054413
77.1,426.0,379.77068173885345
77.4,377.0000100135803,381.348246216774
